team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-2.api-sports.io/football/teams/496.png'}","{'id': 135, 'name': 'Serie A', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/135.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2020}","{'appearences': 33, 'lineups': 31, 'minutes': 2803, 'number': None, 'position': 'Attacker', 'rating': '7.445454', 'captain': False}","{'in': 2, 'out': 3, 'bench': 3}","{'total': 118, 'on': 69}","{'total': 29, 'conceded': 0, 'assists': 3, 'saves': None}","{'total': 987, 'key': 37, 'accuracy': 24}","{'total': 6, 'blocks': 3, 'interceptions': 5}","{'total': 248, 'won': 128}","{'attempts': 95, 'success': 58, 'past': None}","{'drawn': 43, 'committed': 17}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 6, 'missed': 2, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 137, 'name': 'Coppa Italia', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/137.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2020}","{'appearences': 4, 'lineups': 3, 'minutes': 289, 'number': None, 'position': 'Attacker', 'rating': '7.450000', 'captain': False}","{'in': 1, 'out': 1, 'bench': 1}","{'total': 10, 'on': 7}","{'total': 2, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 102, 'key': 3, 'accuracy': 22}","{'total': 2, 'blocks': None, 'interceptions': 1}","{'total': 35, 'won': 22}","{'attempts': 9, 'success': 8, 'past': None}","{'drawn': 8, 'committed': 4}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2020}","{'appearences': 6, 'lineups': 6, 'minutes': 570, 'number': None, 'position': 'Attacker', 'rating': '7.350000', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 16, 'on': 11}","{'total': 4, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 210, 'key': 9, 'accuracy': 28}","{'total': None, 'blocks': 1, 'interceptions': 2}","{'total': 45, 'won': 21}","{'attempts': 19, 'success': 10, 'past': None}","{'drawn': 7, 'committed': 2}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 2, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2020'}","{'appearences': 1, 'lineups': 1, 'minutes': 46, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': 5, 'name': 'UEFA Nations League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/5.png', 'flag': None, 'season': 2020}","{'appearences': 4, 'lineups': 4, 'minutes': 351, 'number': None, 'position': 'Attacker', 'rating': '6.950000', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 15, 'on': 8}","{'total': 2, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 140, 'key': 3, 'accuracy': 31}","{'total': 1, 'blocks': None, 'interceptions': 1}","{'total': 41, 'won': 14}","{'attempts': 12, 'success': 4, 'past': None}","{'drawn': 3, 'committed': 6}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'EC Qualification', 'country': None, 'logo': None, 'flag': None, 'season': '2020'}","{'appearences': 8, 'lineups': 8, 'minutes': 642, 'number': None, 'position': 'Attacker', 'rating': '8.054545', 'captain': False}","{'in': 0, 'out': 3, 'bench': 0}","{'total': 75, 'on': 34}","{'total': 11, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 317, 'key': 15, 'accuracy': 70}","{'total': 2, 'blocks': 0, 'interceptions': 1}","{'total': 49, 'won': 26}","{'attempts': 22, 'success': 14, 'past': None}","{'drawn': 14, 'committed': 9}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 6, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 4, 'name': 'Euro Championship', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/4.png', 'flag': None, 'season': 2020}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': '8.054545', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 75, 'on': 34}","{'total': 5, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 317, 'key': 15, 'accuracy': 70}","{'total': 2, 'blocks': 0, 'interceptions': 1}","{'total': 49, 'won': 26}","{'attempts': 22, 'success': 14, 'past': None}","{'drawn': 14, 'committed': 9}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 6, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2020}","{'appearences': 2, 'lineups': 1, 'minutes': 117, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 1, 'bench': 1}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
