team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2020}","{'appearences': 35, 'lineups': 33, 'minutes': 3022, 'number': None, 'position': 'Attacker', 'rating': '8.342857', 'captain': False}","{'in': 2, 'out': 1, 'bench': 2}","{'total': 141, 'on': 91}","{'total': 30, 'conceded': 0, 'assists': 9, 'saves': None}","{'total': 2246, 'key': 81, 'accuracy': 54}","{'total': 19, 'blocks': None, 'interceptions': 6}","{'total': 501, 'won': 286}","{'attempts': 247, 'success': 160, 'past': None}","{'drawn': 99, 'committed': 22}","{'yellow': 4, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 3, 'missed': 2, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': 143, 'name': 'Copa del Rey', 'country': 'Spain', 'logo': 'https://media-2.api-sports.io/football/leagues/143.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2020}","{'appearences': 5, 'lineups': 5, 'minutes': 510, 'number': None, 'position': 'Attacker', 'rating': '8.740000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 22, 'on': 17}","{'total': 3, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 366, 'key': 18, 'accuracy': 61}","{'total': 4, 'blocks': None, 'interceptions': 1}","{'total': 90, 'won': 60}","{'attempts': 43, 'success': 35, 'past': None}","{'drawn': 21, 'committed': 3}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2020}","{'appearences': 6, 'lineups': 6, 'minutes': 540, 'number': None, 'position': 'Attacker', 'rating': '8.283333', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 26, 'on': 20}","{'total': 5, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 433, 'key': 23, 'accuracy': 64}","{'total': 5, 'blocks': None, 'interceptions': 2}","{'total': 94, 'won': 45}","{'attempts': 44, 'success': 28, 'past': None}","{'drawn': 12, 'committed': 2}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 4, 'missed': 1, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2020'}","{'appearences': 2, 'lineups': 2, 'minutes': 109, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
