team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2017}","{'appearences': 27, 'lineups': 27, 'minutes': 2298, 'number': None, 'position': 'Attacker', 'rating': '7.914814', 'captain': False}","{'in': 0, 'out': 7, 'bench': 0}","{'total': 178, 'on': 77}","{'total': 26, 'conceded': None, 'assists': 5, 'saves': None}","{'total': 597, 'key': 38, 'accuracy': 81}","{'total': None, 'blocks': 0, 'interceptions': 6}","{'total': 188, 'won': 90}","{'attempts': 51, 'success': 31, 'past': None}","{'drawn': 18, 'committed': 19}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 3, 'missed': 1, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2017-2018'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2017}","{'appearences': 13, 'lineups': 13, 'minutes': 1170, 'number': None, 'position': 'Attacker', 'rating': '8.084615', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 82, 'on': 34}","{'total': 15, 'conceded': None, 'assists': 3, 'saves': None}","{'total': 315, 'key': 16, 'accuracy': 80}","{'total': 1, 'blocks': 2, 'interceptions': 3}","{'total': 104, 'won': 61}","{'attempts': 29, 'success': 22, 'past': None}","{'drawn': 12, 'committed': 6}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 4, 'missed': 0, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 531, 'name': 'UEFA Super Cup', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/531.png', 'flag': None, 'season': 2017}","{'appearences': 1, 'lineups': 0, 'minutes': 7, 'number': None, 'position': 'Attacker', 'rating': '6.800000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 1, 'on': 0}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': 3, 'key': 0, 'accuracy': 75}","{'total': None, 'blocks': None, 'interceptions': 0}","{'total': 5, 'won': 4}","{'attempts': 0, 'success': 0, 'past': None}","{'drawn': 3, 'committed': 0}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 15, 'name': 'FIFA Club World Cup', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/15.png', 'flag': None, 'season': 2017}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2017'}","{'appearences': 1, 'lineups': 1, 'minutes': 90, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 21, 'name': 'Confederations Cup', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/21.png', 'flag': None, 'season': 2017}","{'appearences': 4, 'lineups': 4, 'minutes': 367, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2017}","{'appearences': 1, 'lineups': 1, 'minutes': 58, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
