team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media-2.api-sports.io/football/leagues/39.png', 'flag': 'https://media-2.api-sports.io/flags/gb.svg', 'season': 2022}","{'appearences': 10, 'lineups': 4, 'minutes': 520, 'number': None, 'position': 'Attacker', 'rating': '6.810000', 'captain': False}","{'in': 6, 'out': 1, 'bench': 8}","{'total': 19, 'on': 6}","{'total': 1, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 158, 'key': 6, 'accuracy': 12}","{'total': 2, 'blocks': None, 'interceptions': 1}","{'total': 47, 'won': 26}","{'attempts': 7, 'success': 4, 'past': None}","{'drawn': 5, 'committed': 7}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': 48, 'name': 'League Cup', 'country': 'England', 'logo': 'https://media-2.api-sports.io/football/leagues/48.png', 'flag': 'https://media-1.api-sports.io/flags/gb.svg', 'season': 2022}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': 45, 'name': 'FA Cup', 'country': 'England', 'logo': 'https://media-1.api-sports.io/football/leagues/45.png', 'flag': 'https://media-2.api-sports.io/flags/gb.svg', 'season': 2022}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': 3, 'name': 'UEFA Europa League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/3.png', 'flag': None, 'season': 2022}","{'appearences': 6, 'lineups': 6, 'minutes': 531, 'number': None, 'position': 'Attacker', 'rating': '6.950000', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 23, 'on': 7}","{'total': 2, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 171, 'key': 6, 'accuracy': 24}","{'total': 1, 'blocks': None, 'interceptions': None}","{'total': 50, 'won': 20}","{'attempts': 9, 'success': 2, 'past': None}","{'drawn': 7, 'committed': 6}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2022'}","{'appearences': 1, 'lineups': 1, 'minutes': 46, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 5, 'name': 'UEFA Nations League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/5.png', 'flag': None, 'season': 2022}","{'appearences': 5, 'lineups': 4, 'minutes': 388, 'number': None, 'position': 'Attacker', 'rating': '7.060000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 15, 'on': 9}","{'total': 2, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 123, 'key': 5, 'accuracy': 21}","{'total': 2, 'blocks': None, 'interceptions': None}","{'total': 27, 'won': 10}","{'attempts': 4, 'success': 2, 'past': None}","{'drawn': 4, 'committed': 6}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'WC Qualification Europe', 'country': None, 'logo': None, 'flag': None, 'season': '2022'}","{'appearences': 9, 'lineups': 9, 'minutes': 810, 'number': None, 'position': 'Attacker', 'rating': '7.211111', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 37, 'on': 20}","{'total': 6, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 259, 'key': 11, 'accuracy': 22}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': 76, 'won': 29}","{'attempts': 23, 'success': 13, 'past': None}","{'drawn': 5, 'committed': 5}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 2, 'missed': 1, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 1, 'name': 'World Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/1.png', 'flag': None, 'season': 2022}","{'appearences': 3, 'lineups': 3, 'minutes': 235, 'number': None, 'position': 'Attacker', 'rating': '6.433333', 'captain': False}","{'in': 0, 'out': 3, 'bench': 0}","{'total': 5, 'on': 2}","{'total': 1, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 76, 'key': 3, 'accuracy': 19}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': 21, 'won': 11}","{'attempts': 2, 'success': None, 'past': None}","{'drawn': 4, 'committed': 2}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2022}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
