team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2015}","{'appearences': 36, 'lineups': 36, 'minutes': 3185, 'number': None, 'position': 'Attacker', 'rating': '7.858333', 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': 216, 'on': 98}","{'total': 35, 'conceded': 0, 'assists': 11, 'saves': None}","{'total': 916, 'key': 52, 'accuracy': 62}","{'total': 11, 'blocks': 3, 'interceptions': 8}","{'total': 311, 'won': 155}","{'attempts': 92, 'success': 51, 'past': None}","{'drawn': 38, 'committed': 22}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': 2, 'commited': None, 'scored': 6, 'missed': 3, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2015}","{'appearences': 12, 'lineups': 12, 'minutes': 1109, 'number': None, 'position': 'Attacker', 'rating': '8.066666', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 86, 'on': 39}","{'total': 16, 'conceded': 0, 'assists': 4, 'saves': None}","{'total': 368, 'key': 23, 'accuracy': 66}","{'total': None, 'blocks': None, 'interceptions': 3}","{'total': 114, 'won': 45}","{'attempts': 22, 'success': 8, 'past': None}","{'drawn': 18, 'committed': 12}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 3, 'missed': 0, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2015'}","{'appearences': 1, 'lineups': 1, 'minutes': 90, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2015'}","{'appearences': 1, 'lineups': 1, 'minutes': 67, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
