team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media-2.api-sports.io/football/leagues/39.png', 'flag': 'https://media-2.api-sports.io/flags/gb.svg', 'season': 2021}","{'appearences': 30, 'lineups': 27, 'minutes': 2459, 'number': None, 'position': 'Attacker', 'rating': '7.260000', 'captain': False}","{'in': 3, 'out': 6, 'bench': 3}","{'total': 80, 'on': 43}","{'total': 18, 'conceded': 0, 'assists': 3, 'saves': None}","{'total': 879, 'key': 26, 'accuracy': 24}","{'total': 8, 'blocks': None, 'interceptions': 2}","{'total': 217, 'won': 88}","{'attempts': 32, 'success': 20, 'past': None}","{'drawn': 18, 'committed': 16}","{'yellow': 8, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 3, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 135, 'name': 'Serie A', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/135.png', 'flag': 'https://media-2.api-sports.io/flags/it.svg', 'season': 2021}","{'appearences': 1, 'lineups': 0, 'minutes': 31, 'number': None, 'position': 'Attacker', 'rating': '6.200000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 1, 'on': None}","{'total': 0, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 13, 'key': 1, 'accuracy': 8}","{'total': 1, 'blocks': None, 'interceptions': None}","{'total': 3, 'won': 3}","{'attempts': 1, 'success': 1, 'past': None}","{'drawn': 1, 'committed': None}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': 48, 'name': 'League Cup', 'country': 'England', 'logo': 'https://media-2.api-sports.io/football/leagues/48.png', 'flag': 'https://media-1.api-sports.io/flags/gb.svg', 'season': 2021}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': 45, 'name': 'FA Cup', 'country': 'England', 'logo': 'https://media-1.api-sports.io/football/leagues/45.png', 'flag': 'https://media-1.api-sports.io/flags/gb.svg', 'season': 2021}","{'appearences': 1, 'lineups': 1, 'minutes': 120, 'number': None, 'position': 'Attacker', 'rating': '7.200000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 8, 'on': 3}","{'total': 0, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 41, 'key': 2, 'accuracy': 31}","{'total': 1, 'blocks': None, 'interceptions': None}","{'total': 10, 'won': 5}","{'attempts': 2, 'success': 2, 'past': None}","{'drawn': None, 'committed': 1}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-2.api-sports.io/football/teams/496.png'}","{'id': 137, 'name': 'Coppa Italia', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/137.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2021}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2021}","{'appearences': 7, 'lineups': 7, 'minutes': 612, 'number': None, 'position': 'Attacker', 'rating': '7.457142', 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': 20, 'on': 12}","{'total': 6, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 204, 'key': 9, 'accuracy': 25}","{'total': 3, 'blocks': None, 'interceptions': None}","{'total': 61, 'won': 31}","{'attempts': 15, 'success': 9, 'past': None}","{'drawn': 11, 'committed': 4}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2021}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': '7.457142', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 20, 'on': 12}","{'total': 0, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 204, 'key': 9, 'accuracy': 25}","{'total': 3, 'blocks': None, 'interceptions': None}","{'total': 61, 'won': 31}","{'attempts': 15, 'success': 9, 'past': None}","{'drawn': 11, 'committed': 4}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2021'}","{'appearences': 1, 'lineups': 1, 'minutes': 63, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2021}","{'appearences': 3, 'lineups': 3, 'minutes': 207, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
