team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': None, 'name': 'Premier League', 'country': None, 'logo': None, 'flag': None, 'season': '2005-2006'}","{'appearences': 33, 'lineups': 24, 'minutes': 2286, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 9, 'out': 10, 'bench': 10}","{'total': None, 'on': None}","{'total': 9, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 8, 'yellowred': 0, 'red': 1}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': None, 'name': 'FA Cup', 'country': None, 'logo': None, 'flag': None, 'season': '2005-2006'}","{'appearences': 2, 'lineups': 1, 'minutes': 121, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-2.api-sports.io/football/teams/33.png'}","{'id': None, 'name': 'League Cup', 'country': None, 'logo': None, 'flag': None, 'season': '2005-2006'}","{'appearences': 4, 'lineups': 4, 'minutes': 343, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 33, 'name': 'Manchester United', 'logo': 'https://media-1.api-sports.io/football/teams/33.png'}","{'id': None, 'name': 'UEFA Champions League', 'country': None, 'logo': None, 'flag': None, 'season': '2005-2006'}","{'appearences': 8, 'lineups': 8, 'minutes': 663, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 4, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2005'}","{'appearences': 4, 'lineups': 4, 'minutes': 260, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 4, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
