team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2019}","{'appearences': 33, 'lineups': 32, 'minutes': 2880, 'number': None, 'position': 'Attacker', 'rating': '8.459375', 'captain': False}","{'in': 1, 'out': 1, 'bench': 1}","{'total': 153, 'on': 69}","{'total': 25, 'conceded': None, 'assists': 21, 'saves': None}","{'total': 1598, 'key': 87, 'accuracy': 81}","{'total': 18, 'blocks': 0, 'interceptions': 7}","{'total': 182, 'won': 106}","{'attempts': 252, 'success': 172, 'past': None}","{'drawn': 68, 'committed': 18}","{'yellow': 4, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 4, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 143, 'name': 'Copa del Rey', 'country': 'Spain', 'logo': 'https://media-2.api-sports.io/football/leagues/143.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2019}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': '8.000000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 6, 'on': 4}","{'total': 2, 'conceded': None, 'assists': 1, 'saves': None}","{'total': 118, 'key': 8, 'accuracy': 82}","{'total': None, 'blocks': 0, 'interceptions': 0}","{'total': None, 'won': None}","{'attempts': 20, 'success': 12, 'past': None}","{'drawn': 8, 'committed': 1}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2019}","{'appearences': 8, 'lineups': 7, 'minutes': 661, 'number': None, 'position': 'Attacker', 'rating': '8.025000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 31, 'on': 15}","{'total': 3, 'conceded': None, 'assists': 3, 'saves': None}","{'total': 307, 'key': 17, 'accuracy': 81}","{'total': 2, 'blocks': 0, 'interceptions': 2}","{'total': 35, 'won': 22}","{'attempts': 81, 'success': 57, 'past': None}","{'drawn': 19, 'committed': 6}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2019'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': 9, 'name': 'Copa America', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/9.png', 'flag': None, 'season': 2019}","{'appearences': 6, 'lineups': 6, 'minutes': 487, 'number': None, 'position': 'Attacker', 'rating': '7.316666', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 17, 'on': 7}","{'total': 1, 'conceded': None, 'assists': 1, 'saves': None}","{'total': 170, 'key': 11, 'accuracy': 81}","{'total': 4, 'blocks': 0, 'interceptions': 2}","{'total': 86, 'won': 46}","{'attempts': 37, 'success': 22, 'past': None}","{'drawn': 18, 'committed': 5}","{'yellow': 0, 'yellowred': 0, 'red': 1}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2019}","{'appearences': 4, 'lineups': 4, 'minutes': 316, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 4, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
