team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2016}","{'appearences': 34, 'lineups': 32, 'minutes': 2832, 'number': None, 'position': 'Attacker', 'rating': '8.358823', 'captain': False}","{'in': 2, 'out': 4, 'bench': 2}","{'total': 179, 'on': 77}","{'total': 37, 'conceded': None, 'assists': 9, 'saves': None}","{'total': 1320, 'key': 83, 'accuracy': 79}","{'total': None, 'blocks': None, 'interceptions': 7}","{'total': 441, 'won': 234}","{'attempts': 205, 'success': 126, 'past': None}","{'drawn': 79, 'committed': 14}","{'yellow': 6, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 6, 'missed': 1, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2016-2017'}","{'appearences': 7, 'lineups': 7, 'minutes': 630, 'number': None, 'position': 'Attacker', 'rating': '8.200000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 23, 'on': 9}","{'total': 5, 'conceded': None, 'assists': 3, 'saves': None}","{'total': 257, 'key': 15, 'accuracy': 82}","{'total': None, 'blocks': None, 'interceptions': 5}","{'total': 99, 'won': 56}","{'attempts': 49, 'success': 35, 'past': None}","{'drawn': 16, 'committed': 4}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2016}","{'appearences': 9, 'lineups': 9, 'minutes': 810, 'number': None, 'position': 'Attacker', 'rating': '8.233333', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 38, 'on': 16}","{'total': 11, 'conceded': None, 'assists': 2, 'saves': None}","{'total': 395, 'key': 20, 'accuracy': 79}","{'total': None, 'blocks': None, 'interceptions': 0}","{'total': 125, 'won': 59}","{'attempts': 49, 'success': 28, 'past': None}","{'drawn': 20, 'committed': 5}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 2, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 1, 'lineups': 1, 'minutes': 32, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 9, 'name': 'Copa America', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/9.png', 'flag': None, 'season': 2016}","{'appearences': 5, 'lineups': 3, 'minutes': 373, 'number': None, 'position': 'Attacker', 'rating': '8.600000', 'captain': False}","{'in': 2, 'out': 0, 'bench': 3}","{'total': 17, 'on': 9}","{'total': 5, 'conceded': None, 'assists': 4, 'saves': None}","{'total': 158, 'key': 13, 'accuracy': 80}","{'total': None, 'blocks': None, 'interceptions': 0}","{'total': 70, 'won': 41}","{'attempts': 30, 'success': 18, 'past': None}","{'drawn': 18, 'committed': 1}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 1, 'lineups': 1, 'minutes': 64, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
