team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2017}","{'appearences': 36, 'lineups': 32, 'minutes': 2996, 'number': None, 'position': 'Attacker', 'rating': '8.486111', 'captain': False}","{'in': 4, 'out': 0, 'bench': 4}","{'total': 197, 'on': 96}","{'total': 34, 'conceded': None, 'assists': 12, 'saves': None}","{'total': 1529, 'key': 89, 'accuracy': 79}","{'total': 2, 'blocks': 0, 'interceptions': 7}","{'total': 512, 'won': 290}","{'attempts': 257, 'success': 185, 'past': None}","{'drawn': 80, 'committed': 17}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 2, 'missed': 2, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2017-2018'}","{'appearences': 6, 'lineups': 6, 'minutes': 509, 'number': None, 'position': 'Attacker', 'rating': '8.650000', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 38, 'on': 14}","{'total': 4, 'conceded': None, 'assists': 4, 'saves': None}","{'total': 320, 'key': 14, 'accuracy': 83}","{'total': None, 'blocks': 0, 'interceptions': 2}","{'total': 90, 'won': 52}","{'attempts': 38, 'success': 27, 'past': None}","{'drawn': 18, 'committed': 3}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2017}","{'appearences': 10, 'lineups': 8, 'minutes': 783, 'number': None, 'position': 'Attacker', 'rating': '7.920000', 'captain': False}","{'in': 2, 'out': 0, 'bench': 2}","{'total': 44, 'on': 24}","{'total': 6, 'conceded': None, 'assists': 2, 'saves': None}","{'total': 402, 'key': 17, 'accuracy': 81}","{'total': 1, 'blocks': 0, 'interceptions': 3}","{'total': 132, 'won': 67}","{'attempts': 59, 'success': 37, 'past': None}","{'drawn': 19, 'committed': 3}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2017'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2017}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
