team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2016}","{'appearences': 29, 'lineups': 29, 'minutes': 2544, 'number': None, 'position': 'Attacker', 'rating': '7.572413', 'captain': False}","{'in': 0, 'out': 5, 'bench': 0}","{'total': 162, 'on': 61}","{'total': 25, 'conceded': None, 'assists': 6, 'saves': None}","{'total': 616, 'key': 32, 'accuracy': 79}","{'total': None, 'blocks': None, 'interceptions': 8}","{'total': 240, 'won': 109}","{'attempts': 63, 'success': 25, 'past': None}","{'drawn': 45, 'committed': 18}","{'yellow': 4, 'yellowred': 0, 'red': 0}","{'won': 2, 'commited': None, 'scored': 6, 'missed': 2, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2016-2017'}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': '7.250000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 11, 'on': 4}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': 50, 'key': 2, 'accuracy': 81}","{'total': None, 'blocks': None, 'interceptions': 0}","{'total': 24, 'won': 10}","{'attempts': 5, 'success': 1, 'past': None}","{'drawn': 3, 'committed': 0}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2016}","{'appearences': 13, 'lineups': 13, 'minutes': 1200, 'number': None, 'position': 'Attacker', 'rating': '7.838461', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 73, 'on': 27}","{'total': 12, 'conceded': None, 'assists': 5, 'saves': None}","{'total': 359, 'key': 20, 'accuracy': 87}","{'total': None, 'blocks': None, 'interceptions': 5}","{'total': 137, 'won': 62}","{'attempts': 32, 'success': 15, 'past': None}","{'drawn': 26, 'committed': 9}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 531, 'name': 'UEFA Super Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/531.png', 'flag': None, 'season': 2016}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': 15, 'name': 'FIFA Club World Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/15.png', 'flag': None, 'season': 2016}","{'appearences': 2, 'lineups': 2, 'minutes': 202, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 4, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'European Championship', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 7, 'lineups': 7, 'minutes': 625, 'number': None, 'position': 'Attacker', 'rating': '7.342857', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 28, 'on': 11}","{'total': 3, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 207, 'key': 10, 'accuracy': 25}","{'total': 1, 'blocks': None, 'interceptions': None}","{'total': 82, 'won': 33}","{'attempts': 8, 'success': 3, 'past': None}","{'drawn': 14, 'committed': 8}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'EC Qualification', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 6, 'lineups': 6, 'minutes': 540, 'number': None, 'position': 'Attacker', 'rating': '7.342857', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 28, 'on': 11}","{'total': 5, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 207, 'key': 10, 'accuracy': 25}","{'total': 1, 'blocks': None, 'interceptions': None}","{'total': 82, 'won': 33}","{'attempts': 8, 'success': 3, 'past': None}","{'drawn': 14, 'committed': 8}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2016'}","{'appearences': 3, 'lineups': 3, 'minutes': 196, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': None, 'on': None}","{'total': 3, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
