team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/140.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2010}","{'appearences': 34, 'lineups': 32, 'minutes': 2914, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 2, 'out': 1, 'bench': 2}","{'total': None, 'on': None}","{'total': 40, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-2.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2010-2011'}","{'appearences': 8, 'lineups': 7, 'minutes': 683, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 1, 'bench': 1}","{'total': None, 'on': None}","{'total': 7, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 541, 'name': 'Real Madrid', 'logo': 'https://media-1.api-sports.io/football/teams/541.png'}","{'id': None, 'name': 'UEFA Champions League', 'country': None, 'logo': None, 'flag': None, 'season': '2010-2011'}","{'appearences': 12, 'lineups': 12, 'minutes': 1021, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 3, 'bench': 0}","{'total': None, 'on': None}","{'total': 6, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': 1, 'name': 'World Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/1.png', 'flag': None, 'season': 2010}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 1, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-1.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'WC Qualification Europe', 'country': None, 'logo': None, 'flag': None, 'season': '2010'}","{'appearences': 7, 'lineups': 7, 'minutes': 567, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2010'}","{'appearences': 5, 'lineups': 4, 'minutes': 299, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 2, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
