team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-2.api-sports.io/football/teams/496.png'}","{'id': 135, 'name': 'Serie A', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/135.png', 'flag': 'https://media-2.api-sports.io/flags/it.svg', 'season': 2018}","{'appearences': 31, 'lineups': 30, 'minutes': 2689, 'number': None, 'position': 'Attacker', 'rating': '7.622580', 'captain': False}","{'in': 1, 'out': 2, 'bench': 2}","{'total': 177, 'on': 69}","{'total': 21, 'conceded': None, 'assists': 8, 'saves': None}","{'total': 878, 'key': 48, 'accuracy': 84}","{'total': 7, 'blocks': 2, 'interceptions': 6}","{'total': 281, 'won': 137}","{'attempts': 85, 'success': 45, 'past': None}","{'drawn': 50, 'committed': 19}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 5, 'missed': 1, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-2.api-sports.io/football/teams/496.png'}","{'id': 137, 'name': 'Coppa Italia', 'country': 'Italy', 'logo': 'https://media-1.api-sports.io/football/leagues/137.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2018}","{'appearences': 2, 'lineups': 1, 'minutes': 118, 'number': None, 'position': 'Attacker', 'rating': '6.800000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 4, 'on': 1}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': 30, 'key': 0, 'accuracy': 74}","{'total': 1, 'blocks': 0, 'interceptions': 0}","{'total': 18, 'won': 8}","{'attempts': 4, 'success': 3, 'past': None}","{'drawn': 2, 'committed': 1}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2018}","{'appearences': 9, 'lineups': 9, 'minutes': 749, 'number': None, 'position': 'Attacker', 'rating': '7.544444', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 48, 'on': 13}","{'total': 6, 'conceded': None, 'assists': 2, 'saves': None}","{'total': 225, 'key': 17, 'accuracy': 84}","{'total': 3, 'blocks': 1, 'interceptions': 3}","{'total': 106, 'won': 57}","{'attempts': 27, 'success': 18, 'past': None}","{'drawn': 20, 'committed': 7}","{'yellow': 1, 'yellowred': 0, 'red': 1}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': 5, 'name': 'UEFA Nations League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/5.png', 'flag': None, 'season': 2018}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 3, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': 1, 'name': 'World Cup', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/1.png', 'flag': None, 'season': 2018}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': '7.975000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 12, 'on': 8}","{'total': 4, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 116, 'key': 4, 'accuracy': 23}","{'total': None, 'blocks': 1, 'interceptions': None}","{'total': 52, 'won': 29}","{'attempts': 13, 'success': 7, 'past': None}","{'drawn': 14, 'committed': 3}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 1, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': 32, 'name': 'World Cup - Qualification Europe', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/32.png', 'flag': None, 'season': 2018}","{'appearences': 9, 'lineups': 8, 'minutes': 764, 'number': None, 'position': 'Attacker', 'rating': '8.380000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 32, 'on': 16}","{'total': 15, 'conceded': None, 'assists': 3, 'saves': None}","{'total': 187, 'key': 10, 'accuracy': 86}","{'total': None, 'blocks': None, 'interceptions': 0}","{'total': 47, 'won': 25}","{'attempts': 21, 'success': 11, 'past': None}","{'drawn': 10, 'committed': 3}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 27, 'name': 'Portugal', 'logo': 'https://media-2.api-sports.io/football/teams/27.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2018}","{'appearences': 3, 'lineups': 3, 'minutes': 232, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
