team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'La Liga', 'country': None, 'logo': None, 'flag': None, 'season': '2007-2008'}","{'appearences': 28, 'lineups': 23, 'minutes': 2002, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 5, 'out': 10, 'bench': 5}","{'total': None, 'on': None}","{'total': 10, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2007-2008'}","{'appearences': 3, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': None, 'out': None, 'bench': None}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': None, 'yellowred': None, 'red': None}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-2.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'UEFA Champions League', 'country': None, 'logo': None, 'flag': None, 'season': '2007-2008'}","{'appearences': 9, 'lineups': 9, 'minutes': 727, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 3, 'bench': 0}","{'total': None, 'on': None}","{'total': 6, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': None, 'name': 'Copa America', 'country': None, 'logo': None, 'flag': None, 'season': '2007'}","{'appearences': 6, 'lineups': 5, 'minutes': 456, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 2, 'bench': 1}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2007'}","{'appearences': 2, 'lineups': 2, 'minutes': 180, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
