team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-2.api-sports.io/football/leagues/140.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2018}","{'appearences': 34, 'lineups': 29, 'minutes': 2709, 'number': None, 'position': 'Attacker', 'rating': '8.390909', 'captain': False}","{'in': 5, 'out': 1, 'bench': 5}","{'total': 165, 'on': 83}","{'total': 36, 'conceded': None, 'assists': 13, 'saves': None}","{'total': 1436, 'key': 89, 'accuracy': 80}","{'total': 6, 'blocks': 0, 'interceptions': 2}","{'total': 422, 'won': 215}","{'attempts': 222, 'success': 133, 'past': None}","{'drawn': 64, 'committed': 22}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 4, 'missed': 1, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 143, 'name': 'Copa del Rey', 'country': 'Spain', 'logo': 'https://media-1.api-sports.io/football/leagues/143.png', 'flag': 'https://media-2.api-sports.io/flags/es.svg', 'season': 2018}","{'appearences': 5, 'lineups': 4, 'minutes': 387, 'number': None, 'position': 'Attacker', 'rating': '8.300000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 28, 'on': 12}","{'total': 3, 'conceded': None, 'assists': 2, 'saves': None}","{'total': 206, 'key': 15, 'accuracy': 80}","{'total': 3, 'blocks': 0, 'interceptions': 1}","{'total': 76, 'won': 41}","{'attempts': 42, 'success': 25, 'past': None}","{'drawn': 12, 'committed': 1}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': 1, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2018}","{'appearences': 10, 'lineups': 9, 'minutes': 837, 'number': None, 'position': 'Attacker', 'rating': '8.910000', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 54, 'on': 26}","{'total': 12, 'conceded': None, 'assists': 3, 'saves': None}","{'total': 501, 'key': 28, 'accuracy': 83}","{'total': 10, 'blocks': 0, 'interceptions': 3}","{'total': 126, 'won': 66}","{'attempts': 57, 'success': 35, 'past': None}","{'drawn': 20, 'committed': 8}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2018'}","{'appearences': 1, 'lineups': 0, 'minutes': 16, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 34, 'name': 'World Cup - Qualification South America', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/34.png', 'flag': None, 'season': 2018}","{'appearences': 10, 'lineups': 10, 'minutes': 900, 'number': None, 'position': 'Attacker', 'rating': '8.240000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 24, 'on': 7}","{'total': 7, 'conceded': None, 'assists': None, 'saves': None}","{'total': 181, 'key': 19, 'accuracy': 80}","{'total': None, 'blocks': None, 'interceptions': 1}","{'total': 82, 'won': 42}","{'attempts': 26, 'success': 16, 'past': None}","{'drawn': 20, 'committed': 5}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': 1, 'name': 'World Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/1.png', 'flag': None, 'season': 2018}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': '7.900000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 9, 'on': 6}","{'total': 1, 'conceded': 0, 'assists': 2, 'saves': None}","{'total': 205, 'key': 10, 'accuracy': 42}","{'total': 5, 'blocks': None, 'interceptions': 1}","{'total': 82, 'won': 44}","{'attempts': 32, 'success': 23, 'past': None}","{'drawn': 16, 'committed': 4}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 1, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2018}","{'appearences': 1, 'lineups': 1, 'minutes': 90, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 1}","{'total': None, 'on': None}","{'total': 3, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
