team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 140, 'name': 'La Liga', 'country': 'Spain', 'logo': 'https://media-2.api-sports.io/football/leagues/140.png', 'flag': 'https://media-1.api-sports.io/flags/es.svg', 'season': 2013}","{'appearences': 31, 'lineups': 29, 'minutes': 2502, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 2, 'out': 5, 'bench': 2}","{'total': None, 'on': None}","{'total': 28, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 2, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Copa del Rey', 'country': None, 'logo': None, 'flag': None, 'season': '2013-2014'}","{'appearences': 6, 'lineups': 5, 'minutes': 476, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 0, 'bench': 2}","{'total': None, 'on': None}","{'total': 5, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2013}","{'appearences': 7, 'lineups': 7, 'minutes': 630, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 8, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': None, 'name': 'Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2013'}","{'appearences': 2, 'lineups': 2, 'minutes': 158, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': None, 'on': None}","{'total': 3, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
