team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-1.api-sports.io/football/teams/85.png'}","{'id': 61, 'name': 'Ligue 1', 'country': 'France', 'logo': 'https://media-2.api-sports.io/football/leagues/61.png', 'flag': 'https://media-1.api-sports.io/flags/fr.svg', 'season': 2021}","{'appearences': 26, 'lineups': 24, 'minutes': 2153, 'number': None, 'position': 'Attacker', 'rating': '7.750000', 'captain': False}","{'in': 2, 'out': 2, 'bench': 2}","{'total': 68, 'on': 29}","{'total': 6, 'conceded': 0, 'assists': 14, 'saves': None}","{'total': 1603, 'key': 64, 'accuracy': 53}","{'total': 10, 'blocks': None, 'interceptions': 4}","{'total': 208, 'won': 113}","{'attempts': 99, 'success': 64, 'past': None}","{'drawn': 35, 'committed': 6}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-1.api-sports.io/football/teams/85.png'}","{'id': 66, 'name': 'Coupe de France', 'country': 'France', 'logo': 'https://media-1.api-sports.io/football/leagues/66.png', 'flag': 'https://media-1.api-sports.io/flags/fr.svg', 'season': 2021}","{'appearences': 1, 'lineups': 1, 'minutes': 90, 'number': None, 'position': 'Attacker', 'rating': '7.300000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 1, 'on': 1}","{'total': 0, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 67, 'key': None, 'accuracy': 52}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': 14, 'won': 8}","{'attempts': 7, 'success': 4, 'past': None}","{'drawn': 4, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-1.api-sports.io/football/teams/85.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2021}","{'appearences': 7, 'lineups': 7, 'minutes': 630, 'number': None, 'position': 'Attacker', 'rating': '7.742857', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 18, 'on': 10}","{'total': 5, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 435, 'key': 13, 'accuracy': 54}","{'total': 3, 'blocks': None, 'interceptions': None}","{'total': 74, 'won': 38}","{'attempts': 36, 'success': 23, 'past': None}","{'drawn': 11, 'committed': 3}","{'yellow': 1, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 2, 'missed': 1, 'saved': None}"
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-1.api-sports.io/football/teams/85.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2021'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 529, 'name': 'Barcelona', 'logo': 'https://media-1.api-sports.io/football/teams/529.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2021'}","{'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 0, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 9, 'name': 'Copa America', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/9.png', 'flag': None, 'season': 2021}","{'appearences': 7, 'lineups': 7, 'minutes': 630, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': None, 'on': None}","{'total': 4, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
