team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-2.api-sports.io/football/teams/85.png'}","{'id': 61, 'name': 'Ligue 1', 'country': 'France', 'logo': 'https://media-1.api-sports.io/football/leagues/61.png', 'flag': 'https://media-2.api-sports.io/flags/fr.svg', 'season': 2022}","{'appearences': 13, 'lineups': 13, 'minutes': 1132, 'number': None, 'position': 'Attacker', 'rating': '8.407692', 'captain': False}","{'in': 0, 'out': 5, 'bench': 0}","{'total': 45, 'on': 31}","{'total': 7, 'conceded': 0, 'assists': 10, 'saves': None}","{'total': 779, 'key': 35, 'accuracy': 50}","{'total': 11, 'blocks': None, 'interceptions': None}","{'total': 147, 'won': 76}","{'attempts': 78, 'success': 47, 'past': None}","{'drawn': 18, 'committed': 3}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-2.api-sports.io/football/teams/85.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-1.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2022}","{'appearences': 5, 'lineups': 5, 'minutes': 435, 'number': None, 'position': 'Attacker', 'rating': '8.260000', 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': 13, 'on': 8}","{'total': 4, 'conceded': 0, 'assists': 4, 'saves': None}","{'total': 292, 'key': 15, 'accuracy': 51}","{'total': 2, 'blocks': None, 'interceptions': 2}","{'total': 34, 'won': 19}","{'attempts': 12, 'success': 8, 'past': None}","{'drawn': 8, 'committed': 2}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}"
"{'id': 85, 'name': 'Paris Saint Germain', 'logo': 'https://media-2.api-sports.io/football/teams/85.png'}","{'id': None, 'name': 'Club Friendlies', 'country': None, 'logo': None, 'flag': None, 'season': '2022'}","{'appearences': 4, 'lineups': 3, 'minutes': 211, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 3, 'bench': 1}","{'total': None, 'on': None}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': 34, 'name': 'World Cup - Qualification South America', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/34.png', 'flag': None, 'season': 2022}","{'appearences': 15, 'lineups': 14, 'minutes': 1274, 'number': None, 'position': 'Attacker', 'rating': '7.726666', 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': 39, 'on': 23}","{'total': 7, 'conceded': 0, 'assists': None, 'saves': None}","{'total': 829, 'key': 31, 'accuracy': 47}","{'total': 11, 'blocks': None, 'interceptions': 4}","{'total': 201, 'won': 113}","{'attempts': 99, 'success': 59, 'past': None}","{'drawn': 37, 'committed': 8}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 2, 'missed': 0, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-1.api-sports.io/football/teams/26.png'}","{'id': 1, 'name': 'World Cup', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/1.png', 'flag': None, 'season': 2022}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': '7.950000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 17, 'on': 10}","{'total': 3, 'conceded': 0, 'assists': 1, 'saves': None}","{'total': 209, 'key': 13, 'accuracy': 44}","{'total': 3, 'blocks': None, 'interceptions': None}","{'total': 50, 'won': 24}","{'attempts': 16, 'success': 9, 'past': None}","{'drawn': 11, 'committed': 4}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 1, 'saved': None}"
"{'id': 26, 'name': 'Argentina', 'logo': 'https://media-2.api-sports.io/football/teams/26.png'}","{'id': 10, 'name': 'Friendlies', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/10.png', 'flag': None, 'season': 2022}","{'appearences': 4, 'lineups': 3, 'minutes': 304, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}","{'in': 1, 'out': 0, 'bench': 1}","{'total': None, 'on': None}","{'total': 10, 'conceded': None, 'assists': None, 'saves': None}","{'total': None, 'key': None, 'accuracy': None}","{'total': None, 'blocks': None, 'interceptions': None}","{'total': None, 'won': None}","{'attempts': None, 'success': None, 'past': None}","{'drawn': None, 'committed': None}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}"
