team,league,games,substitutes,shots,goals,passes,tackles,duels,dribbles,fouls,cards,penalty
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 135, 'name': 'Serie A', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/135.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2019}","{'appearences': 33, 'lineups': 33, 'minutes': 2919, 'number': None, 'position': 'Attacker', 'rating': '7.756250', 'captain': False}","{'in': 0, 'out': 2, 'bench': 0}","{'total': 199, 'on': 79}","{'total': 31, 'conceded': None, 'assists': 4, 'saves': None}","{'total': 989, 'key': 48, 'accuracy': 84}","{'total': 12, 'blocks': 2, 'interceptions': 6}","{'total': 98, 'won': 44}","{'attempts': 84, 'success': 50, 'past': None}","{'drawn': 51, 'committed': 24}","{'yellow': 3, 'yellowred': 0, 'red': 0}","{'won': 2, 'commited': None, 'scored': 12, 'missed': 1, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-1.api-sports.io/football/teams/496.png'}","{'id': 137, 'name': 'Coppa Italia', 'country': 'Italy', 'logo': 'https://media-2.api-sports.io/football/leagues/137.png', 'flag': 'https://media-1.api-sports.io/flags/it.svg', 'season': 2019}","{'appearences': 4, 'lineups': 4, 'minutes': 360, 'number': None, 'position': 'Attacker', 'rating': '7.275000', 'captain': False}","{'in': 0, 'out': 0, 'bench': 0}","{'total': 20, 'on': 5}","{'total': 2, 'conceded': None, 'assists': None, 'saves': None}","{'total': 135, 'key': 7, 'accuracy': 87}","{'total': None, 'blocks': 0, 'interceptions': 0}","{'total': 18, 'won': 12}","{'attempts': 12, 'success': 9, 'past': None}","{'drawn': 6, 'committed': 1}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 1, 'saved': None}"
"{'id': 496, 'name': 'Juventus', 'logo': 'https://media-2.api-sports.io/football/teams/496.png'}","{'id': 2, 'name': 'UEFA Champions League', 'country': 'World', 'logo': 'https://media-2.api-sports.io/football/leagues/2.png', 'flag': None, 'season': 2019}","{'appearences': 8, 'lineups': 8, 'minutes': 712, 'number': None, 'position': 'Attacker', 'rating': '7.300000', 'captain': False}","{'in': 0, 'out': 1, 'bench': 0}","{'total': 40, 'on': 15}","{'total': 4, 'conceded': None, 'assists': None, 'saves': None}","{'total': 234, 'key': 5, 'accuracy': 81}","{'total': 1, 'blocks': 0, 'interceptions': 4}","{'total': 4, 'won': 3}","{'attempts': 21, 'success': 14, 'past': None}","{'drawn': 10, 'committed': 8}","{'yellow': 0, 'yellowred': 0, 'red': 0}","{'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}"
